DENV inhibitors RdRp_登革熱病毒抑制物_3738,,,
Molecule ChEMBL ID,Smiles,Standard Value,標籤小於等於10000為1；反之為0
CHEMBL1336068,O=C(COc1ccc(C(=O)c2ccccc2)cc1)NC1CCCCC1,112219.0,
CHEMBL1542638,COc1ccc(P(=O)(COc2ccc([N+](=O)[O-])cc2)c2ccc(OC)cc2)cc1,112219.0,
CHEMBL3198235,Oc1cccc(/C=N/Nc2nn3cnnc3c3ccccc23)c1,18763.0,
CHEMBL3198883,COc1cc(/C=N/N=C(\N)c2nonc2N)ccc1O,7468.0,
CHEMBL1464533,Cc1ccccc1-c1nc(CS(=O)(=O)CC(=O)N2CCc3ccccc32)c(C)o1,112219.0,
CHEMBL1336241,COc1ccc2c(c1)N(C(=O)CSc1n[nH]c(C)n1)C(C)(C)C=C2C,112219.0,
CHEMBL1376424,COc1ccc(Oc2nc(-c3ccccc3)ncc2S(=O)(=O)c2ccccc2)cc1,112219.0,
CHEMBL1481916,Cc1cc(C)c2c(c1)cc(C)c1nnc(SCC(=O)Nc3ccccc3N3CCOCC3)n12,112219.0,
CHEMBL1376336,Cn1c(NC(=O)Cc2cccs2)cc(=O)n(C)c1=O,112219.0,
CHEMBL1323963,Cc1ccc(S(=O)(=O)NCC2CCC(C(=O)NCc3ccc4c(c3)OCO4)CC2)cc1,112219.0,
CHEMBL1423495,CC1(c2ccccc2)NC(=O)N(CC(=O)N2CCN(S(=O)(=O)c3ccccc3[N+](=O)[O-])CC2)C1=O,112219.0,
CHEMBL1604163,C(=C/c1ccco1)\c1ccc2ccccc2n1,15204.0,
CHEMBL1408083,c1csc(-c2nn3c(Cn4nnc5ccccc54)nnc3s2)c1,112219.0,
CHEMBL1604379,Cc1ccc(S(=O)(=O)NCCC(=O)OCC(=O)NC(=O)c2cccn2C)cc1,112219.0,
CHEMBL1536557,COc1ccc(N(C(=O)c2ccc(Cl)cc2)C2=CC3CCC(C2)N3C)cc1.Cl,112219.0,
CHEMBL1536627,CCC(CC)c1nnc(NC(=O)CCNC(=O)c2ccccc2Cl)s1,112219.0,
CHEMBL1369683,COC(=O)c1cc(NC2c3ccccc3C(=O)N2c2cccnc2)cc(C(=O)OC)c1,112219.0,
CHEMBL3193227,COc1ccccc1/N=C/c1c(O)oc2ccccc2c1=O,112219.0,
CHEMBL1468581,COc1cccc(C(c2sc3nc(C)nn3c2O)N2CCN(c3ccccc3F)CC2)c1,112219.0,
CHEMBL1310213,COc1ccc(S(N)(=O)=O)cc1C(=O)NCCCN1CCN(c2cccc(Cl)c2)CC1.CS(=O)(=O)O,56110.0,
CHEMBL1547361,Cc1ccccc1-n1c(=O)cc(N2CCN(C(=O)c3ccco3)CC2)[nH]c1=O,112219.0,
CHEMBL1485017,CCOC(=O)NCCc1ccc(OC)cc1,112219.0,
CHEMBL1547498,COc1cc2c(cc1OC)C1=C(C#N)CN(CC(=O)O)CN1CC2,112219.0,
CHEMBL1551085,COc1ccc(NC(=O)CCS(=O)(=O)c2ccc3nc(C)sc3c2)cc1OC,112219.0,
CHEMBL1586230,Cc1ccc(NS(=O)(=O)c2ccc(Cl)c(C(=O)Nc3ccccc3-c3nc4ccccc4[nH]3)c2)cc1C,112219.0,
CHEMBL3214499,CCOC(=O)C1CCN(/C=N/c2cc(C)on2)CC1,112219.0,
CHEMBL1430096,COCCn1c(C)cc(C2=NN=C(NC3CC3)SC2)c1C.Cl,2139.0,
CHEMBL1472690,O=S(=O)(Nc1cccc(-c2ccc3nncn3n2)c1)c1cc(F)ccc1F,112219.0,
CHEMBL1390799,COc1cc2c(cc1OC)C(/C=C(\O)c1ccc(NC(C)=O)cc1)=NCC2,3330.0,
CHEMBL1586391,COC(=O)c1cccc(NC(=O)Nc2ccc(Cl)cc2Cl)c1,112219.0,
CHEMBL1390792,CCCc1cc(=O)oc2cc(OCC(=O)N3CCc4ccccc43)ccc12,112219.0,
CHEMBL205548,N=C(N)Nc1ccc(O[C@H]2C[C@@H](Oc3ccc(NC(=N)N)cc3NC(=N)N)[C@H](NC(=N)N)C[C@@H]2NC(=N)N)c(NC(=N)N)c1,1000.0,
CHEMBL3339393,Cc1ccc(NC(=O)c2nc[nH]c2C(=O)NCc2ccccc2)c(-c2ccco2)c1,125000.0,
CHEMBL1386131,CCC(Oc1cc(Cl)ccc1Cl)C(=O)NNC(=O)CCC(=O)O,112219.0,
CHEMBL1377098,CCOC(=O)C(C)n1cnc2c(nnn2-c2ccc(F)cc2)c1=O,112219.0,
CHEMBL1364713,CCOC(=O)c1c(C)[nH]c(C)c1S(=O)(=O)NCC(=O)Nc1ccccn1,112219.0,
CHEMBL1505003,COc1cccc(C(=O)Nc2ccc(N3CCCC3)cc2)c1,1203.0,
CHEMBL1337186,O=C(Nc1cccc(O)c1)C(=O)Nc1ccccn1,1820.0,
CHEMBL1404692,Cc1c(Cl)cccc1NC(=O)Nc1ccc(C(=O)N2CCCC2)cc1,30371.0,
CHEMBL3193673,O=C(N/N=C/c1ccccn1)c1ccc(NC(=O)c2ccc(F)cc2)cc1,112219.0,
CHEMBL1479862,Cc1ccc(-c2c3c(nc4sc(C(N)=O)c(N)c24)CCC3)cc1,112219.0,
CHEMBL1413360,CCn1cc(NC(=O)Nc2ccccc2C(=O)OC)c(C(N)=O)n1,112219.0,
CHEMBL1973921,COc1ccc(C(=O)Nc2ccccc2C(=O)N/N=C/c2ccc(O)c(OC)c2)cc1,156.0,
CHEMBL1343458,Nc1cc2sc(-c3ccc(C(=O)O)cc3)nc2cc1Cl,1325.0,
CHEMBL1401676,O=C(O)c1ccc(N=Nc2c(O)[nH]c3ccccc23)cc1,937.0,
CHEMBL1384497,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1ccc(Br)cc1,112219.0,
CHEMBL1305099,Cc1cc(NC(=O)Cn2nc(C)c([N+](=O)[O-])c2C)no1,112219.0,
CHEMBL1520766,C/C=C/c1ccc(OCc2cc(=O)n3cc(C)ccc3n2)c(OC)c1,58233.0,
CHEMBL1305810,c1ccc(C2=NN(c3ccccc3)CC2)cc1,112219.0,
CHEMBL1308506,O=C(NC1CCCCC1)C12CC3CC(CC(Cl)(C3)C1)C2,112219.0,
CHEMBL3195878,CSc1ccc(/C=N/NC(=O)c2ccc(O)cc2)cc1,13883.0,
CHEMBL1578056,O=C1CCN(N=Nc2cccc(Cl)c2)N1,112219.0,
